 0.1090	  mA 	DC	 0.0544	   V 	DC
 0.2015	  mA 	DC	 0.1006	   V 	DC
 0.3020	  mA 	DC	 0.1505	   V 	DC
 0.4070	  mA 	DC	 0.2021	   V 	DC
 0.5028	  mA 	DC	 0.2490	   V 	DC
 0.6047	  mA 	DC	 0.2981	   V 	DC
 0.7051	  mA 	DC	 0.3457	   V 	DC
 0.8040	  mA 	DC	 0.3920	   V 	DC
 0.9087	  mA 	DC	 0.4399	   V 	DC
 1.0134	  mA 	DC	 0.4868	   V 	DC
 02.181	  mA 	DC	 0.9286	   V 	DC
 03.027	  mA 	DC	 1.1528	   V 	DC
 04.002	  mA 	DC	 1.3308	   V 	DC
 05.083	  mA 	DC	 1.4625	   V 	DC
 06.149	  mA 	DC	 1.5444	   V 	DC
 07.031	  mA 	DC	 1.5874	   V 	DC
 08.138	  mA 	DC	 1.6224	   V 	DC
 08.603	  mA 	DC	 1.6313	   V 	DC
 09.046	  mA 	DC	 1.6400	   V 	DC
 09.483	  mA 	DC	 1.6439	   V 	DC
 10.047	  mA 	DC	 1.6509	   V 	DC
 10.457	  mA 	DC	 1.6522	   V 	DC
 11.095	  mA 	DC	 1.6567	   V 	DC
 11.600	  mA 	DC	 1.6570	   V 	DC
 12.092	  mA 	DC	 1.6565	   V 	DC
 12.482	  mA 	DC	 1.6562	   V 	DC
 13.176	  mA 	DC	 1.6547	   V 	DC
 14.056	  mA 	DC	 1.6511	   V 	DC
 15.381	  mA 	DC	 1.6445	   V 	DC
 16.001	  mA 	DC	 1.6400	   V 	DC
 17.015	  mA 	DC	 1.6335	   V 	DC
 19.216	  mA 	DC	 1.6167	   V 	DC
 020.00	  mA 	DC	 1.6102	   V 	DC
 020.99	  mA 	DC	 1.6031	   V 	DC
 022.12	  mA 	DC	 1.5948	   V 	DC
 023.05	  mA 	DC	 1.5889	   V 	DC
 024.03	  mA 	DC	 1.5823	   V 	DC
 025.04	  mA 	DC	 1.5756	   V 	DC
