 065.01	 Ohm 	OH	 116.43	kOhm 	OH
 067.01	 Ohm 	OH	 080.65	kOhm 	OH
 069.01	 Ohm 	OH	 057.31	kOhm 	OH
 071.00	 Ohm 	OH	 041.53	kOhm 	OH
 073.01	 Ohm 	OH	 030.59	kOhm 	OH
 075.00	 Ohm 	OH	 022.71	kOhm 	OH
 077.00	 Ohm 	OH	 16.760	kOhm 	OH
 079.00	 Ohm 	OH	 12.697	kOhm 	OH
 081.00	 Ohm 	OH	 09.743	kOhm 	OH
 083.00	 Ohm 	OH	 07.545	kOhm 	OH
 085.00	 Ohm 	OH	 05.839	kOhm 	OH
 087.00	 Ohm 	OH	 04.581	kOhm 	OH
 089.00	 Ohm 	OH	 03.621	kOhm 	OH
 091.00	 Ohm 	OH	 02.783	kOhm 	OH
 093.00	 Ohm 	OH	 02.211	kOhm 	OH
 095.00	 Ohm 	OH	 1.7313	kOhm 	OH
 097.00	 Ohm 	OH	 1.4232	kOhm 	OH
 099.00	 Ohm 	OH	 1.1703	kOhm 	OH
 101.00	 Ohm 	OH	 0.9702	kOhm 	OH
 103.00	 Ohm 	OH	 0.7902	kOhm 	OH
 105.00	 Ohm 	OH	 0.6585	kOhm 	OH
 107.00	 Ohm 	OH	 0.5562	kOhm 	OH
 109.00	 Ohm 	OH	 0.4715	kOhm 	OH
 111.00	 Ohm 	OH	 0.4021	kOhm 	OH
 113.00	 Ohm 	OH	 0.3449	kOhm 	OH
 115.00	 Ohm 	OH	 0.2973	kOhm 	OH
 117.00	 Ohm 	OH	 0.2573	kOhm 	OH
 119.00	 Ohm 	OH	 0.2233	kOhm 	OH
 121.12	 Ohm 	OH	 0.1934	kOhm 	OH
 123.00	 Ohm 	OH	 0.1713	kOhm 	OH
 125.00	 Ohm 	OH	 0.1511	kOhm 	OH
 127.00	 Ohm 	OH	 0.1338	kOhm 	OH
 129.00	 Ohm 	OH	 0.1190	kOhm 	OH
 130.00	 Ohm 	OH	 0.1124	kOhm 	OH
